object_name	size(bytes)	size(Gb)	md5
HG00096.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	5678946235	5.28893082868	95ef95acff5fa0b0f47f296287fcd9b4-6
HG00097.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	1957686448	1.82323758304	1c92c1caafa5686a8eb01b68e2706610
HG00099.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	2681420519	2.49726746138	26b1ddea30e56a6241fe4f8209deb0dd
HG00100.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	6218805586	5.79171402939	a95d49739ae27dbd83a60784cc0e3567-6
HG00101.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	3657559187	3.40636743885	5d9587ba6fe2b124ff4127649ff8e794
HG00102.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	2969354878	2.76542722993	f79fc459a9a2a46e33dd3e1a2594260e
HG00103.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	3020542338	2.81309926696	8924711b174974f19f6aa47f7e726717
HG00104.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	2348311067	2.18703510892	be4ac0c57fecffe5c5277fb281502cf0
HG00105.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	1961440897	1.82673418615	5c150c66028295bacf6c34b13b43b954
HG00106.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	2253665598	2.09888964705	78bfa76b7df6604d7ead3fa3cbd389db
HG00107.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	3230384771	3.00853026193	4a48c65b76f9dcfe135363fbbfd65ab4
HG00108.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	3574508186	3.32902016677	de183919497ab44a6dc9ba92e71426f2
HG00109.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	3812449405	3.55062019546	3ccdb1caf2d1c0c3b2dec855ef14055e
HG00110.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	3690576474	3.43711718358	27ecb35e2b2787335a135a91ab50e3b6
HG00111.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	2945157687	2.74289183971	59545eec05ee29a0c1ffabe621197fdc
HG00112.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	1964769186	1.82983389683	26a4ff00f939485f6dac007a1311f554
HG00113.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	3137780679	2.92228598054	c5b1e35df713529589592e1b07e6be91
HG00114.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	3573067102	3.32767805271	bdcbc7c38fc55424fb45cdb432473c73
HG00115.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	1987145382	1.8506733533	dd61bd04b752e510e2aea7f3e554326a
HG00116.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	6925111752	6.44951290637	71999bcc28551756767fddd884b5d614-7
HG00117.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	5428862369	5.05602207873	1df8199b125f62141525af8d937c911f-6
HG00118.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	2279359580	2.12281903252	c99b50ff9cd48ccdf2bac90e334f51c0
HG00119.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	6562369685	6.11168303061	041f8c1669e4bff6aea0d4a4f1243a24-7
HG00120.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	6543140512	6.09377446771	6c83ef49a040bfdbcdd854cba8e2013e-7
HG00121.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	3081553679	2.86992050614	74bd6e406a6677d0768c86ac3cfd96f6
HG00122.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	2112152600	1.96709539741	85b281a26421fcb07d36b2c875c5d19e
HG00123.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	5478252266	5.10202000476	bc810e33b2036d6be2c770800bb01654-6
HG00124.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	7553501166	7.03474615328	7e924f1db354dc9529c5ba63470e4bd0-8
HG00125.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	3099465226	2.88660193421	a1cc35eb0d6f55b78360824daafd162e
HG00126.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	2050579764	1.90975122526	7d23420d544fa1548df57c0b3d85d05d
HG00127.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	3271160513	3.04650563095	4ca9fde829b70cf87118cbf414b6cb56
HG00128.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	2987088897	2.78194332216	1d7544c8d4c450bb3e444d1c00aa908d
HG00129.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	2267260431	2.11155082192	51bdf3c3e694f9df030f0c67a543d61d
HG00130.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	2163999097	2.01538121048	a9a1eed00335ee2815ae1ef91809ba36
HG00131.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	6809902259	6.34221570473	99339ccfc0484b597f653720226c864c-7
HG00132.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	1912977762	1.78159937449	c98d5d27276fb6f000162f043bcdf297
HG00133.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	6246792338	5.81777872331	b2db3d04f1d50c571c9e9df7ef1d576e-6
HG00134.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	1862244061	1.73434993345	8d5b54de7df742605a49237e70014e36
HG00135.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	1842596781	1.71605197806	571e4986d58bff5494bcf8d55d3c6d35
HG00136.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	4012858858	3.7372660432	c19fa07f9b0e2705c93ace604e5a49ca
HG00137.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	2713366227	2.5270192204	6b14adb597c93ac3dc0cbb4e205a8bd6
HG00138.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	2806652186	2.61389853992	7263f379832b5b3e5c40b4c51f59a588
HG00139.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	3525275933	3.28316905815	3be881f3fe37fad21537fccc7bc51ae8
HG00140.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	2889433222	2.69099438749	d3198afc5738ddd7604393f5e804cc06
HG00141.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	2185688871	2.03558138665	3fcc7e1a81c3dfa9ce641db98298ca23
HG00142.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	2775422778	2.58481388725	577ba795565e52d1a759917744efb5b1
HG00143.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	2712309420	2.52603499219	3123f15a8de1535b50729606cd061889
HG00145.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	4226740224	3.93645858765	4897715b55f1d9b94425cbae877224a3
HG00146.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	3691463379	3.43794317823	36305e9189727667a0ff8081ab19ab3c
HG00148.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	2489955453	2.31895172317	d023a332a87a9869c3b1d0c6e2265a74
HG00149.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	1973354019	1.8378291456	7892dc439261ab5484208241f91ba37e
HG00150.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	2134409547	1.9878237946	1d6399d705334083e060ecc2c92c2e90
HG00151.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	1880715077	1.75155240763	1f62583011d53e835c3e98316a1e2017
HG00152.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	1894064465	1.76398499403	30c416e5e4268a2293a0959e5be1e7eb
HG00154.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	3783066315	3.52325506043	2830f3e4166712d93e797dc07ea9f150
HG00155.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	4049261040	3.77116821706	e4a2f7931f9a7e40c9d324ee520da799
HG00156.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	1890963927	1.761097393	79431526b563e6524f3499358c0d85a5
HG00157.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	6175105219	5.75101489108	d08480ec054169a21302d9a494a38366-6
HG00158.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	6468532292	6.02429014817	7a8860e789b32de6c8d6d5f7beb72f37-7
HG00159.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	5775450036	5.37880699709	5a14ae9416bc9f115a78efd51d90d786-6
HG00160.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	2524502758	2.3511264082	4133337db920c24f026c318346eead8d
HG00171.alt_bwamem_GRCh38DH.20150826.FIN.exome.cram	3914389047	3.6455588853	65246b78dc53364ded1d0ed106bf9c2f
HG00173.alt_bwamem_GRCh38DH.20150826.FIN.exome.cram	2270551568	2.11461593211	bfa9a9171955e926528c38a4af4dcb2c
HG00174.alt_bwamem_GRCh38DH.20150826.FIN.exome.cram	3869598372	3.60384431854	43baa8fc7e06618af215ac6f95f5a47f
HG00176.alt_bwamem_GRCh38DH.20150826.FIN.exome.cram	3498493418	3.25822589733	415832f5341d4490750f46d81474a504
HG00177.alt_bwamem_GRCh38DH.20150826.FIN.exome.cram	2304150759	2.14590761717	ec3221f5a4b63e15fab03d7eeda1c300
HG00178.alt_bwamem_GRCh38DH.20150826.FIN.exome.cram	3486331227	3.24689897429	fe1dc42a9c162745889aff05a82b1920
HG00179.alt_bwamem_GRCh38DH.20150826.FIN.exome.cram	2690670649	2.50588231627	12a0f47688b91d04054fa2e4f8d07be4
HG00180.alt_bwamem_GRCh38DH.20150826.FIN.exome.cram	1876811615	1.74791702535	a209cbb3b91d1362cacca8b207cb894f
HG00181.alt_bwamem_GRCh38DH.20150826.FIN.exome.cram	3724470561	3.46868351195	7344af8d95562c7420457191ea65355c
HG00182.alt_bwamem_GRCh38DH.20150826.FIN.exome.cram	3967817928	3.69531840831	be8cdb92d3b78778624c07ed274b05ef
HG00183.alt_bwamem_GRCh38DH.20150826.FIN.exome.cram	4344511383	4.04614152666	73a4c7177f6632c4a04f1dbe11325613-5
HG00185.alt_bwamem_GRCh38DH.20150826.FIN.exome.cram	3839898929	3.57618455682	7eb2bf5d5a0a84ef570e583798df48dd
HG00186.alt_bwamem_GRCh38DH.20150826.FIN.exome.cram	2975874715	2.77149930131	46e55a82b6fcb6c6b2f55ef10790c1e1
HG00187.alt_bwamem_GRCh38DH.20150826.FIN.exome.cram	3581191238	3.33524424396	70dc1d875f1d594419beb21037ff68ad
HG00188.alt_bwamem_GRCh38DH.20150826.FIN.exome.cram	3413805274	3.17935391702	c2a2abc65a1aa0aeb7b05767b3b7b14e
HG00189.alt_bwamem_GRCh38DH.20150826.FIN.exome.cram	3363688693	3.13267921377	bc9dd419859b5ee8bf49a1d83962bc53
HG00190.alt_bwamem_GRCh38DH.20150826.FIN.exome.cram	3340900430	3.11145599	736ffc4b85d67957b4d741a07e5cb2bc
HG00231.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	2288165112	2.13101982325	6c58fa53c7fb78893713c4d354604afa
HG00232.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	3348049886	3.11811443977	73e0ad85136cffccf71ae5c73114c5b0
HG00233.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	3455361193	3.21805588249	50f1c4b951f18a013423dce173040f76
HG00234.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	1689000130	1.5730039496	769541705c012e0dbd9eaff2ca8729d8
HG00235.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	1576123585	1.46787947509	6110495b61877007468c9c5954ba962b
HG00236.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	3529688579	3.28727865499	67cab951054731038bc70a0a6ae4b58e
HG00237.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	3026660203	2.81879697274	97d676723999c0c33d5abc1e584a0537
HG00238.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	3452909811	3.2157728551	50219721177c51a77a197078af16ad89
HG00239.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	1396473856	1.30056762695	b5b32c80056e12c38d27266dd93200b2
HG00240.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	3311517347	3.08409086149	c8a0c6733532f02f1bca9e282c48c0b4
HG00242.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	7019443269	6.53736597765	27adb74ba2fbf2bb2379945cf41430f9-7
HG00243.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	6314284325	5.88063553441	be2a4cf47010fe9081d90ee819a7a93e-6
HG00244.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	2112524288	1.96744155884	49896ed1412f975179a584a0391de154
HG00245.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	3893775701	3.62636121083	63635a7b7c5dd50d965a31b566705f18
HG00246.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	3337778946	3.10854888149	03737fa7fc992d104c2ed93c1892bcd5
HG00247.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	1550486002	1.44400261529	d6c23786ad309f8c2efa0311bf505898
HG00249.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	3859775438	3.59469599836	0825af4517dddc1c678e402769361cd8
HG00250.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	2889095713	2.69068005774	6ddd8203bad50fce7631de841c6f2146
HG00251.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	3330598309	3.10186139215	cfc723056a5d0c831a122f9e31b973dd
